sapaṭaham	sa	paṭaham
sapaṭṭī	sa	paṭṭī
sapaṇa	sa	paṇa
sapatāka	sa	patāka
sapattana	sa	pattana
sapattra	sa	pattra
sapattraka	sa	pattraka
sapattrā	sa	pattrā
sapattrita	sa	pattrita
sapatna	sa	patna
sapatnī	sa	patnī
sapadi	sa	padi
sapadma	sa	padma
sapadmaka	sa	padmaka
sapannaga	sa	pannaga
sapara	sa	para
saparākrama	sa	parākrama
saparikara	sa	parikara
saparikrama	sa	parikrama
saparicchada	sa	paricchada
saparijana	sa	parijana
saparitoṣa	sa	paritoṣa
saparibādha	sa	paribādha
saparibṛṃhaṇa	sa	paribṛṃhaṇa
saparivāra	sa	parivāra
saparivāha	sa	parivāha
saparivyaya	sa	parivyaya
sapariśeṣa	sa	pariśeṣa
sapariśraya	sa	pariśraya
sapariśritkam	sa	pariśritkam
sapariṣatka	sa	pariṣatka
saparihāram	sa	parihāram
saparihāsa	sa	parihāsa
saparṇa	sa	parṇa
saparyāṇa	sa	paryāṇa
saparvata	sa	parvata
saparṣatka	sa	parṣatka
sapalāśa	sa	palāśa
sapallava	sa	pallava
sapavitra	sa	pavitra
sapavitraka	sa	pavitraka
sapaśu	sa	paśu
sapātra	sa	pātra
sapāda	sa	pāda
sapāduka	sa	pāduka
sapāla	sa	pāla
sapiṇḍa	sa	piṇḍa
sapitṛka	sa	pitṛka
sapitṛ-rājanya	sa	pitṛ-rājanya
sapitva	sa	pitva
sapidhāna	sa	pidhāna
sapiśāca	sa	piśāca
sapīḍa	sa	pīḍa
sapītaka	sa	pītaka
sapīti	sa	pīti
sapuccha	sa	puccha
saputra	sa	putra
saputraka	sa	putraka
saputrin	sa	putrin
sapuraścaraṇa	sa	puraścaraṇa
sapurīṣa	sa	purīṣa
sapuruṣa	sa	puruṣa
sapuro'nuvākya	sa	puro'nuvākya
sapurolāsa	sa	purolāsa
sapurohita	sa	purohita
sapulaka	sa	pulaka
sapuṣpa	sa	puṣpa
sapūrva	sa	pūrva
sapṛṣata	sa	pṛṣata
sapṛṣad-ājya	sa	pṛṣad-ājya
sapota	sa	pota
sapaura	sa	paura
sapauṣṇa-maitra	sa	pauṣṇa-maitra
saprakāraka	sa	prakāraka
saprakṛtika	sa	prakṛtika
sapragātha	sa	pragātha
sapraja	sa	praja
saprajas	sa	prajas
saprajāpatika	sa	prajāpatika
saprajña	sa	prajña
sapraṇaya	sa	praṇaya
sapraṇava	sa	praṇava
sapraṇāmam	sa	praṇāmam
sapratigha	sa	pratigha
sapratibandha	sa	pratibandha
sapratibha	sa	pratibha
sapratibhaya	sa	pratibhaya
sapratiṣṭha	sa	pratiṣṭha
sapratīkāśa	sa	pratīkāśa
sapratī@kṣam	sa	pratī@kṣam
saprativāpa	sa	prativāpa
sapratī@śa	sa	pratī@śa
sapratoda	sa	pratoda
sapratyabhijñam	sa	pratyabhijñam
sapratyaya	sa	pratyaya
sapratyayaka	sa	pratyayaka
sapratyādhāna	sa	pratyādhāna
sapratyāśam	sa	pratyāśam
sapratha	sa	pratha
saprathas	sa	prathas
saprapañca	sa	prapañca
saprabha	sa	prabha
saprabhāva	sa	prabhāva
saprabhṛti	sa	prabhṛti
sapramāṇa	sa	pramāṇa
sapramāda	sa	pramāda
sapramodanam	sa	pramodanam
sapramodam	sa	pramodam
saprayoga-nivartana	sa	prayoga-nivartana
saprayoga-rahasya	sa	prayoga-rahasya
sapravargya	sa	pravargya
sapravāda	sa	pravāda
sapraśrayam	sa	praśrayam
saprasava	sa	prasava
saprasāda	sa	prasāda
saprasveda	sa	prasveda
saprahāsam	sa	prahāsam
saprā@ṇa	sa	prā@ṇa
saprā@ya	sa	prā@ya
sapru	sa	pru
saprema	sa	prema
sapreman	sa	preman
sapre@ṣya	sa	pre@ṣya
saprai@ṣa	sa	prai@ṣa
sapsara	sa	psara
sapatnakarśana	sapatna	karśana
sapatnakṣayaṇa	sapatna	kṣayaṇa
sapatnakṣit	sapatna	kṣit
sapatnaghnī	sapatna	ghnī
sapatnacātana	sapatna	cātana
sapatnaja	sapatna	ja
sapatnajit	sapatna	jit
sapatnatā	sapatna	tā
sapatnatur	sapatna	tur
sapatnatva	sapatna	tva
sapatnadambhana	sapatna	dambhana
sapatnadūṣaṇa	sapatna	dūṣaṇa
sapatnanāśa	sapatna	nāśa
sapatnabala-sūdana	sapatna	bala-sūdana
sapatnavṛddhi	sapatna	vṛddhi
sapatnaśrī	sapatna	śrī
sapatnasāda	sapatna	sāda
sapatnasāha	sapatna	sāha
sapatnahan	sapatna	han
sapatnā@ri	sapatna	?
sapatnījana	sapatnī	jana
sapatnītas	sapatnī	tas
sapatnītva	sapatnī	tva
sapatnīduhitṛ	sapatnī	duhitṛ
sapatnīputra	sapatnī	putra
sapatnībādhana	sapatnī	bādhana
sa-patnī@śa	sapatnī	?
sapatnīspardhā	sapatnī	spardhā
sapiṇḍatā	sapiṇḍa	tā
sapiṇḍanirṇaya	sapiṇḍa	nirṇaya
sapiṇḍanaprayoga	sapiṇḍana	prayoga
sapiṇḍīkaraṇa	sapiṇḍī	karaṇa
sapiṇḍīkṛ	sapiṇḍī	?
sapiṇḍīkṛta	sapiṇḍī	kṛta
sapiṇḍīkramaṇa	sapiṇḍī	kramaṇa
saptaṛṣi	sapta	ṛṣi
saptaṛṣīṇa	sapta	ṛṣīṇa
saptakathā-maya	sapta	kathā-maya
saptakapāla	sapta	kapāla
saptakarṇa	sapta	karṇa
saptakumārikā@vadāna	sapta	kumārikā@vadāna
saptakṛt	sapta	kṛt
saptakṛtvas	sapta	kṛtvas
saptakoṇa	sapta	koṇa
saptagaṅga	sapta	gaṅga
saptagaṇa	sapta	gaṇa
saptagu	sapta	gu
saptaguṇa	sapta	guṇa
saptagṛdhra	sapta	gṛdhra
saptago-dāvara	sapta	go-dāvara
saptagrantha-nibarhaṇa	sapta	grantha-nibarhaṇa
śaiva-vaiṣṇava-vicāra	sapta	?
saptagranthī	sapta	granthī
saptagrahī	sapta	grahī
saptacakra	sapta	cakra
saptacatvāriṃśa	sapta	catvāriṃśa
saptacatvāriṃśat	sapta	catvāriṃśat
saptacaru	sapta	caru
saptacitika	sapta	citika
saptacchada	sapta	cchada
saptacchandas	sapta	cchandas
saptacchidra	sapta	cchidra
saptajana	sapta	jana
saptajāni	sapta	jāni
saptajāmi	sapta	jāmi
saptajihva	sapta	jihva
saptajvāla	sapta	jvāla
saptatanti	sapta	tanti
saptatantu	sapta	tantu
saptatantra	sapta	tantra
saptatriṃśa	sapta	triṃśa
saptatriṃśat	sapta	triṃśat
saptatriṃśati	sapta	triṃśati
saptadaśa	sapta	daśa
saptadaśaka	sapta	daśaka
saptadaśan	sapta	daśan
saptadaśama	sapta	daśama
saptadaśin	sapta	daśin
saptadina	sapta	dina
saptadivasa	sapta	divasa
saptadīdhiti	sapta	dīdhiti
saptadvārā@vakīrṇa	sapta	dvārā@vakīrṇa
saptadvīpa	sapta	dvīpa
saptadhātu	sapta	dhātu
saptadhātuka	sapta	dhātuka
saptadhānya	sapta	dhānya
saptadhāra	sapta	dhāra
saptadhārā-tīrtha	sapta	dhārā-tīrtha
saptanalī	sapta	nalī
saptanavata	sapta	navata
saptanavati	sapta	navati
saptanāḍika	sapta	nāḍika
saptanāḍī-cakra	sapta	nāḍī-cakra
saptanāman	sapta	nāman
saptanāmā	sapta	nāmā
saptanidhana	sapta	nidhana
saptapañcāśa	sapta	pañcāśa
saptapañcāśat	sapta	pañcāśat
saptapattra	sapta	pattra
saptapad	sapta	pad
saptapada	sapta	pada
saptapadī-gamana	sapta	padī-gamana
saptaparāka	sapta	parāka
saptaparṇa	sapta	parṇa
saptaparṇaka	sapta	parṇaka
saptaparvata-māhātmya	sapta	parvata-māhātmya
saptapalāśa	sapta	palāśa
saptapāka-yajña-bhāṣya	sapta	pāka-yajña-bhāṣya
saptapāka-yajña-śeṣa	sapta	pāka-yajña-śeṣa
saptapāka-saṃsthā-vidhi	sapta	pāka-saṃsthā-vidhi
saptapātāla	sapta	pātāla
saptaputra	sapta	putra
saptapuruṣa	sapta	puruṣa
saptaprakṛti	sapta	prakṛti
saptabāhya	sapta	bāhya
saptabuddha-stotra	sapta	buddha-stotra
saptabudhna	sapta	budhna
saptabodhy-aṅga-kusumā@ḍhya	sapta	bodhy-aṅga-kusumā@ḍhya
saptabhaṅgan	sapta	bhaṅgan
saptabhaṅgī-taraṃgiṇī	sapta	bhaṅgī-taraṃgiṇī
saptabhaṅgī-naya	sapta	bhaṅgī-naya
saptabhadra	sapta	bhadra
saptabhuvana	sapta	bhuvana
saptabhūma	sapta	bhūma
saptabhūmi	sapta	bhūmi
saptabhūmika	sapta	bhūmika
saptabhauma	sapta	bhauma
saptamaṅgala-māhātmya	sapta	maṅgala-māhātmya
saptamaṭhā@mnāya-daśa-nāmā@bhidhāna	sapta	maṭhā@mnāya-daśa-nāmā@bhidhāna
saptamaṭhā@mnāyika	sapta	maṭhā@mnāyika
saptamantra	sapta	mantra
saptamarīci	sapta	marīci
saptamahā-bhāga	sapta	mahā-bhāga
saptamātṛ	sapta	mātṛ
saptamānuṣa	sapta	mānuṣa
saptamārga	sapta	mārga
saptamāsya	sapta	māsya
saptamuñja	sapta	muñja
saptamuṣṭika	sapta	muṣṭika
saptamūrti-maya	sapta	mūrti-maya
saptamṛttikā	sapta	mṛttikā
saptayama	sapta	yama
saptayojanī	sapta	yojanī
saptarakta	sapta	rakta
saptaratna	sapta	ratna
saptaraśmi	sapta	raśmi
saptarātra	sapta	rātra
saptarātraka	sapta	rātraka
saptarātrika	sapta	rātrika
saptarāva	sapta	rāva
saptarāśika	sapta	rāśika
saptaruci	sapta	ruci
saptarca	sapta	rca
saptarṣi	sapta	rṣi
saptarṣika	sapta	rṣika
saptalakṣaṇa	sapta	lakṣaṇa
saptaloka	sapta	loka
saptalokī	sapta	lokī
saptavat	sapta	vat
saptavadhri	sapta	vadhri
saptavarūtha	sapta	varūtha
saptavarga	sapta	varga
saptavarman	sapta	varman
saptavarṣa	sapta	varṣa
saptavādin	sapta	vādin
saptavāra	sapta	vāra
saptavārṣika	sapta	vārṣika
saptaviṃśa	sapta	viṃśa
saptaviṃśaka	sapta	viṃśaka
saptaviṃśat	sapta	viṃśat
saptaviṃśati	sapta	viṃśati
saptaviṃśatika	sapta	viṃśatika
saptaviṃśatima	sapta	viṃśatima
saptaviṃśin	sapta	viṃśin
saptavidāru	sapta	vidāru
saptavidha	sapta	vidha
saptavibhakti-nirṇaya	sapta	vibhakti-nirṇaya
saptavṛṣa	sapta	vṛṣa
saptavelam	sapta	velam
saptavyasana-kathā	sapta	vyasana-kathā
saptaśakti-stotra	sapta	śakti-stotra
saptaśata	sapta	śata
saptaśataka	sapta	śataka
saptaśapha	sapta	śapha
saptaśalāka	sapta	śalāka
saptaśalāka-cakra	sapta	śalāka-cakra
saptaśāli-vaṭī	sapta	śāli-vaṭī
saptaśiras	sapta	śiras
saptaśirā	sapta	śirā
saptaśiva	sapta	śiva
saptaśīrṣa	sapta	śīrṣa
saptaśīrṣan	sapta	śīrṣan
saptaśrotas	sapta	śrotas
saptaślokī	sapta	ślokī
saptaṣaṣṭa	sapta	ṣaṣṭa
saptaṣaṣṭi	sapta	ṣaṣṭi
saptasaṃsthā	sapta	saṃsthā
saptasaṃsthā-prayoga	sapta	saṃsthā-prayoga
saptasaṃsthāna	sapta	saṃsthāna
saptasaṃkhyā	sapta	saṃkhyā
saptasaṃkhyāka	sapta	saṃkhyāka
saptasaptaka	sapta	saptaka
saptasaptata	sapta	saptata
saptasaptati	sapta	saptati
saptasapti	sapta	sapti
saptasaptin	sapta	saptin
saptasama	sapta	sama
saptasamādhi-pariṣkāra-dāyaka	sapta	samādhi-pariṣkāra-dāyaka
saptasamudra-vat	sapta	samudra-vat
saptasamudrā@nta	sapta	samudrā@nta
saptasāgara	sapta	sāgara
saptasāgaraka	sapta	sāgaraka
saptasārasvata	sapta	sārasvata
saptasirā	sapta	sirā
saptasū	sapta	sū
saptasūtra	sapta	sūtra
saptasūtra-saṃnyāsa-paddhati	sapta	sūtra-saṃnyāsa-paddhati
saptasoma-paddhati	sapta	soma-paddhati
saptasoma-saṃsthā-paddhati	sapta	soma-saṃsthā-paddhati
saptastava	sapta	stava
saptasthala-māhātmya	sapta	sthala-māhātmya
saptaspardhā	sapta	spardhā
saptasrotas	sapta	srotas
saptasvasṛ	sapta	svasṛ
saptaha	sapta	ha
saptahan	sapta	han
saptahaya	sapta	haya
saptahasta	sapta	hasta
saptahotṛ	sapta	hotṛ
saptahautra	sapta	hautra
saptahautra-prayoga	sapta	hautra-prayoga
saptahautra-sūcī	sapta	hautra-sūcī
saptā@ṃśu	sapta	?
saptā@kṣara	sapta	?
saptā@gāram	sapta	?
saptā@gārika	sapta	?
saptā@ṅga	sapta	?
saptā@cala-dāna-paddhati	sapta	?
saptā@tman	sapta	?
saptā@dri	sapta	?
saptā@mraka	sapta	?
saptā@rci	sapta	?
saptā@rcis	sapta	?
saptā@rṇava	sapta	?
saptā-viṃśati	sapta	?
saptā@śīta	sapta	?
saptā@śīti	sapta	?
saptā@śra	sapta	?
saptā@śva	sapta	?
saptā@ṣṭan	sapta	?
saptā@sthita	sapta	?
saptā@sya	sapta	?
saptā@sra	sapta	?
saptā@ha	sapta	?
saptā@hvā	sapta	?
sapto@ttara	sapta	?
sapto@tsada	sapta	?
sapto@tsāda	sapta	?
sapto@nā	sapta	?
saptatitama	saptati	tama
saptatiratna-mālikā	saptati	ratna-mālikā
saptatisaṃkhyāka	saptati	saṃkhyāka
saptatisambandha	saptati	sambandha
saptatihāyana	saptati	hāyana
saptamakalā	saptama	kalā
saptamā@ṣṭama	saptama	?
saptamīpratirūpaka	saptamī	pratirūpaka
saptamīvrata	saptamī	vrata
saptamīsamāsa	saptamī	samāsa
saptamīsnapana	saptamī	snapana
saptamy-arka-vrata	saptamī	?
saptitā	sapti	tā
saphatva	sapha	tva
saphatva	sapha	tva
saphalatva	saphala	tva
saphalaprā@rthana	saphala	prā@rthana
sa-phalo@daya	saphala	?
sa-phalo@darka	saphala	?
saphalīkaraṇa	saphalī	karaṇa
saphalīkṛ	saphalī	?
saphalīkṛta	saphalī	kṛta
saphalībhū	saphalī	?
saphalībhūta	saphalī	bhūta
saphenapuñja	saphena	puñja
sabandhaka	sa	bandhaka
sabandhu	sa	bandhu
sabarhis	sa	barhis
sabala	sa	bala
sabali	sa	bali
sabahumānam	sa	bahumānam
sabādh	sa	bādh
sabādha	sa	bādha
sabādhas	sa	bādhas
sabāndhava	sa	bāndhava
sabāla-vṛddha	sa	bāla-vṛddha
sabāṣpa	sa	bāṣpa
sabāṣpaka	sa	bāṣpaka
sabāhyā@ntaḥ-karaṇa	sa	bāhyā@ntaḥ-karaṇa
sabindu	sa	bindu
sabīja	sa	bīja
sabībhatsam	sa	bībhatsam
sabuva	sa	buva
sabrahmaka	sa	brahmaka
sabrahmacārika	sa	brahmacārika
sabrahmacārin	sa	brahmacārin
sabrāhmaṇa	sa	brāhmaṇa
sabrāhmaṇaspatya	sa	brāhmaṇaspatya
sabardugha	sabar	dugha
sabarduh	sabar	duh
sabardhu	sabar	dhu
sabhakṣa	sa	bhakṣa
sabhaṅga	sa	bhaṅga
sabhadra-musta	sa	bhadra-musta
sabhaya	sa	bhaya
sabharas	sa	bharas
sabhartṛkā	sa	bhartṛkā
sabhava	sa	bhava
sabhasmaka	sa	bhasmaka
sabhasman	sa	bhasman
sabhāga	sa	bhāga
sabhāgya	sa	bhāgya
sabhājana	sa	bhājana
sabhāṇḍa	sa	bhāṇḍa
sabhāra-tā	sa	bhāra-tā
sabhārya	sa	bhārya
sabhāryaka	sa	bhāryaka
sabhāvana	sa	bhāvana
sabhīti	sa	bhīti
sabhīma	sa	bhīma
sabhūta	sa	bhūta
sabhūmi	sa	bhūmi
sabhṛ-kuṭī-mukha	sa	bhṛ-kuṭī-mukha
sabhṛti	sa	bhṛti
sabhṛtya	sa	bhṛtya
sabhrātṛ	sa	bhrātṛ
sabhrātṛka	sa	bhrātṛka
sabhrū-kṣepam	sa	bhrū-kṣepam
sabhrū-bhaṅga	sa	bhrū-bhaṅga
sabhrū-bhedam	sa	bhrū-bhedam
sabhrū-vilāsam	sa	bhrū-vilāsam
sabhākāra	sabhā	kāra
sabhākaumudī	sabhā	kaumudī
sabhā@kṣa	sabhā	?
sabhāga	sabhā	ga
sabhāgata	sabhā	gata
sabhāgṛha	sabhā	gṛha
sabhācara	sabhā	cara
sabhācāturya	sabhā	cāturya
sabhā@cāra	sabhā	?
sabhātaraṃga	sabhā	taraṃga
sabhādhairya	sabhā	dhairya
sabhānara	sabhā	nara
sabhānāṭaka	sabhā	nāṭaka
sabhānāyaka	sabhā	nāyaka
sabhā@ntare	sabhā	?
sabhāpati	sabhā	pati
sabhāpariṣad	sabhā	pariṣad
sabhāparvan	sabhā	parvan
sabhāpāla	sabhā	pāla
sabhāpūjā	sabhā	pūjā
sabhāprapādin	sabhā	prapādin
sabhāpraveśana	sabhā	praveśana
sabhā@bharaṇa	sabhā	?
sabhāmaṇḍana	sabhā	maṇḍana
sabhāmaṇḍapa	sabhā	maṇḍapa
sabhāmadhye	sabhā	madhye
sabhāyogya	sabhā	yogya
sabhārañjana	sabhā	rañjana
sabhā@raṇya-vitaṅka-vat	sabhā	?
sabhāvat	sabhā	vat
sabhāvaśa-kara	sabhā	vaśa-kara
sabhā@vasara	sabhā	?
sabhāvin	sabhā	vin
sabhāvinoda	sabhā	vinoda
sabhāsad	sabhā	sad
sabhāsada	sabhā	sada
sabhāsaṃnayana	sabhā	saṃnayana
sabhāsāha	sabhā	sāha
sabhāsiṃha	sabhā	siṃha
sabhā@sīna	sabhā	?
sabhā@stāra	sabhā	?
sabhāstha	sabhā	stha
sabhāsthāṇu	sabhā	sthāṇu
sabhāsthāna-stha	sabhā	sthāna-stha
sabhe@śvara-stotra	sabhā	?
sabho@cita	sabhā	?
sabho@ddeśa	sabhā	?
sabho@paviṣṭa	sabhā	?
sabhyakaṇṭhā@bharaṇa	sabhya	kaṇṭhā@bharaṇa
sabhyatama	sabhya	tama
sabhyatā	sabhya	tā
sabhyatva	sabhya	tva
sabhyā@bharaṇa	sabhya	?
sabhyā@bhinava-yati	sabhya	?
sabhye@tara	sabhya	?
samakakṣa	sama	kakṣa
samakanyā	sama	kanyā
samakara	sama	kara
samakarṇa	sama	karṇa
samakarman	sama	karman
samakāla	sama	kāla
samakālīna	sama	kālīna
samakola	sama	kola
samakoṣṭha-miti	sama	koṣṭha-miti
samakrama	sama	krama
samakriya	sama	kriya
samakṣetra	sama	kṣetra
samakhāta	sama	khāta
samagandha	sama	gandha
samagandhaka	sama	gandhaka
samagandhika	sama	gandhika
samacakra-vāla	sama	cakra-vāla
samacatur-aśra	sama	catur-aśra
samacatur-bhuja	sama	catur-bhuja
samacatuṣ-koṇa	sama	catuṣ-koṇa
samacatvāriṃśa-danta-tā	sama	catvāriṃśa-danta-tā
samacitta	sama	citta
samacetas	sama	cetas
samacodita	sama	codita
samaccheda	sama	ccheda
samacchedana	sama	cchedana
samajāti	sama	jāti
samajātīya	sama	jātīya
samajñā	sama	jñā
samataṭa	sama	taṭa
samatā	sama	tā
samatīrthaka	sama	tīrthaka
samatulā	sama	tulā
samatulita	sama	tulita
samatṛṇa-maṇi-loṣṭa-kāñcana	sama	tṛṇa-maṇi-loṣṭa-kāñcana
samatraya	sama	traya
samatri-bhuja	sama	tri-bhuja
samatryaṃśa	sama	tryaṃśa
samatva	sama	tva
samatviṣ	sama	tviṣ
samadaṃṣṭra-tā	sama	daṃṣṭra-tā
samadanta	sama	danta
samadarśana	sama	darśana
samadarśin	sama	darśin
samaduḥkha	sama	duḥkha
samadṛś	sama	dṛś
samadṛṣṭi	sama	dṛṣṭi
samadṛṣṭipāta	sama	dṛṣṭipāta
samadeśa	sama	deśa
samadyuti	sama	dyuti
samadvādaśā@śra	sama	dvādaśā@śra
samadvi-dvibhuja	sama	dvi-dvibhuja
samadvi-bhuja	sama	dvi-bhuja
samadharma	sama	dharma
samadhā	sama	dhā
samadhura	sama	dhura
samadhṛta	sama	dhṛta
samanara	sama	nara
samanindā-navana	sama	nindā-navana
samapakṣapāta	sama	pakṣapāta
samapaṭa-vāsa	sama	paṭa-vāsa
samapada	sama	pada
samapadāti	sama	padāti
samapāda	sama	pāda
samaprabha	sama	prabha
samaprādhānya-saṃkara	sama	prādhānya-saṃkara
samapre@psu	sama	pre@psu
samabuddhi	sama	buddhi
samabhāga	sama	bhāga
samabhāva	sama	bhāva
samabhūmi	sama	bhūmi
samamaṇḍala	sama	maṇḍala
samamati	sama	mati
samamaya	sama	maya
samamātra	sama	mātra
samamiti	sama	miti
samam-bila	sama	m-bila
samam-bhūmi	sama	m-bhūmi
samam-bhūmi	sama	m-bhūmi
samayuga	sama	yuga
samayoga	sama	yoga
samaraṃhas	sama	raṃhas
samarajju	sama	rajju
samarañjita	sama	rañjita
samarata	sama	rata
samaratha	sama	ratha
samarabha	sama	rabha
samarasa	sama	rasa
samarasī-karaṇa	sama	rasī-karaṇa
samarūpa	sama	rūpa
samarūpya	sama	rūpya
samarekha	sama	rekha
samarca	sama	?
samalamba	sama	lamba
samalepanī	sama	lepanī
samaloṣṭa-kāñcana	sama	loṣṭa-kāñcana
samaloṣṭā@śma-kāñcana	sama	loṣṭā@śma-kāñcana
samaloṣṭra-kāñcana	sama	loṣṭra-kāñcana
samavayaska	sama	vayaska
samavarṇa	sama	varṇa
samavartin	sama	vartin
samavarṣaṇa	sama	varṣaṇa
samavibhakta	sama	vibhakta
samavibhāga	sama	vibhāga
samaviṣama	sama	viṣama
samavīrya	sama	vīrya
samavṛtta	sama	vṛtta
samavṛtti	sama	vṛtti
samavega-vaśa	sama	vega-vaśa
samavedha	sama	vedha
samaveṣa	sama	veṣa
samavyatha	sama	vyatha
samavyāptika	sama	vyāptika
samaśaṅku	sama	śaṅku
samaśarkara	sama	śarkara
samaśaśin	sama	śaśin
samaśas	sama	śas
samaśīrṣikā	sama	śīrṣikā
samaśīla	sama	śīla
samaśīlin	sama	śīlin
samaśodhana	sama	śodhana
samaśruti	sama	śruti
samaśreṇi	sama	śreṇi
samasaṃsthāna	sama	saṃsthāna
samasaṃsthita	sama	saṃsthita
samasaṃkhyāta	sama	saṃkhyāta
samasaṃdhi	sama	saṃdhi
samasaṃdhita	sama	saṃdhita
samasamaya-vartin	sama	samaya-vartin
samasarva-guṇa	sama	sarva-guṇa
samasiddhā@nta	sama	siddhā@nta
samasupti	sama	supti
samasūtra-ga	sama	sūtra-ga
samasūtra-stha	sama	sūtra-stha
samasaurabha	sama	saurabha
samastha	sama	stha
samasthala	sama	sthala
samasthāna	sama	sthāna
samasparśa	sama	sparśa
samasvara	sama	svara
samā@ṃśa	sama	?
samā@ṃśaka	sama	?
samā@ṃśika	sama	?
samā@ṃśin	sama	?
samā@kara	sama	?
samā@kāra	sama	?
samā@kṣara	sama	?
samā@ṅghrika	sama	?
samā@cāra	sama	?
samā@ñjana	sama	?
samā@tmaka	sama	?
samā@tman	sama	?
samā@nana	sama	?
samā@nta	sama	?
samā@ntara	sama	?
samā-priya	sama	?
samā@phala	sama	?
samā@rtha	sama	?
samā@rthaka	sama	?
samā@rthin	sama	?
samā@rdha-ga	sama	?
samā@rṣa	sama	?
samā-vat	sama	?
samā-vikarta	sama	?
samā@sana	sama	?
samā@sama	sama	?
samā@hva	sama	?
samo@ttara-tas	sama	?
samo@daka	sama	?
samo@pamā	sama	?
samau@jas	sama	?
samā@tī@ta	samā	?
samānicaya	samā	nicaya
samā@nta	samā	?
samā@ntara	samā	?
samā@rbuda	samā	?
samāvacchas	samāvac	chas
samāvajjāmī	samāvaj	jāmī
samāvadindriya	samāvad	indriya
samāvadbhāj	samāvad	bhāj
samāvadvīrya	samāvad	vīrya
samīkaraṇa	samī	karaṇa
samīkāra	samī	kāra
samīkṛ	samī	?
samīkṛta	samī	kṛta
samīkṛti	samī	kṛti
samīkriyā	samī	kriyā
samībhāva	samī	bhāva
samībhū	samī	?
samībhūta	samī	bhūta
samakṣatā	samakṣa	tā
samakṣadarśana	samakṣa	darśana
samagraṇī	samagra	ṇī
samagradhana	samagra	dhana
samagrabhakṣaṇa-śīla	samagra	bhakṣaṇa-śīla
samagramala-hāraka	samagra	mala-hāraka
samagravartin	samagra	vartin
samagraśakti	samagra	śakti
samagrasampad	samagra	sampad
samagrasauvarṇa	samagra	sauvarṇa
samagrā@ṅga	samagra	?
samagre@ndu	samagra	?
samajyā	samaja	?
samājasaṃniveśana	samāja	saṃniveśana
samājika	samāja	?
samañjanavat	samañjana	vat
samañjanīya	samañjana	?
sam-añjasā@rtha-dīpikā	samañjasa	?
samatikrānta	samatikrama	?
samadhikatara	samadhika	tara
samadhikalajjā-vatī	samadhika	lajjā-vatī
samadhikalāvaṇya	samadhika	lāvaṇya
samadhikā@rambha	samadhika	?
samadhigama	samadhigata	?
samadhigamana	samadhigata	?
samadhigamya	samadhigata	?
samadhirohaṇa	samadhirūḍha	?
samanaga	samana	ga
samanīkatas	samanīka	tas
samanīkamūrdhan	samanīka	mūrdhan
samanujñāta	samanujñā	?
samanujñāna	samanujñā	?
samanuṣyarājanya	samanuṣya	rājanya
samantatas	samanta	tas
samantakusuma	samanta	kusuma
samantagandha	samanta	gandha
samantacāritra-mati	samanta	cāritra-mati
samantatas	samanta	tas
samantadarśin	samanta	darśin
samantadugdhā	samanta	dugdhā
samantanetra	samanta	netra
samantapañcaka	samanta	pañcaka
samantaparyāyin	samanta	paryāyin
samantaprabha	samanta	prabha
samantaprabhāsa	samanta	prabhāsa
samantaprasādika	samanta	prasādika
samantaprāsādika	samanta	prāsādika
samantabhadra	samanta	bhadra
samantabhuj	samanta	bhuj
samantamukha-dhāriṇī	samanta	mukha-dhāriṇī
samantaraśmi	samanta	raśmi
samantavilokitā	samanta	vilokitā
samantavyūha-sāgara-carya-vyavalokana	samanta	vyūha-sāgara-carya-vyavalokana
samantaśiti-bāhu	samanta	śiti-bāhu
samantaśiti-randhra	samanta	śiti-randhra
samantasthūlā@valokana	samanta	sthūlā@valokana
samantasphāraṇa-mukha-darśana	samanta	sphāraṇa-mukha-darśana
samantā@loka	samanta	?
samantā@valokita	samanta	?
sa-mantri-tva	samantrin	?
samanvārambha	samanvārabdha	?
samanvārambhaṇa	samanvārabdha	?
samanvayapradīpa	samanvaya	pradīpa
samanvayapradīpa-saṃketa	samanvaya	pradīpa-saṃketa
samanvayasūtra-vivṛti	samanvaya	sūtra-vivṛti
samabhityaktajīvita	samabhityakta	jīvita
samabhivyāhārin	samabhivyāhāra	?
samabhivyāhṛta	samabhivyāhāra	?
samabhihāra	samabhiharaṇa	?
samabhyarcita	samabhyarcana	?
samabhyuccayavat	samabhyuccaya	vat
samarcana	samarcaka	?
samarcā	samarcaka	?
samarcita	samarcaka	?
samarthatara	samartha	tara
samarthatā	samartha	tā
samarthatva	samartha	tva
samarthapada-vidhi	samartha	pada-vidhi
samarthayukta	samartha	yukta
samarthaka	samartha	?
samarthanīya	samarthana	?
samarthitavat	samarthita	vat
samavattadhāna	samavatta	dhāna
samavasṛti	samavasṛta	?
samavasargya	samavasarga	?
samavasthāna	samavasthā	?
samavasthāpita	samavasthā	?
samavasthita	samavasthā	?
samavasrāviṇī	samavasrava	?
samavāptakāma	samavāpta	kāma
sam-avā@pti	samavāpta	?
samavāyakhaṇḍana	samavāya	khaṇḍana
samavāyatas	samavāya	tas
samavāyatva	samavāya	tva
samavāyapramāṇa-vādā@rtha	samavāya	pramāṇa-vādā@rtha
samavāyavāda	samavāya	vāda
samavāyasambandha	samavāya	sambandha
samavā@yana	samavāya	?
samavā@yika	samavāya	?
